1,Medium,0.005832195281982422
2,Low,0.0030641555786132812
3,High,0.8935010433197021
4,Medium,0.35231614112854004
5,Low,0.007503986358642578
6,Low,0.003185749053955078
7,High,0.0980226993560791
8,Medium,0.06874823570251465
9,Medium,0.06172990798950195
10,Medium,0.09418749809265137
11,Low,0.003227710723876953
12,Medium,0.08635902404785156
13,Medium,0.10735845565795898
14,Low,0.00886392593383789
15,Low,0.01489114761352539
16,Low,0.0003306865692138672
17,High,3.165994882583618
18,High,0.6631271839141846
19,Low,0.009467840194702148
20,High,1.6213858127593994
21,High,1.9496798515319824
22,Medium,0.0015845298767089844
23,Low,0.0008177757263183594
24,Low,0.0026133060455322266
25,Low,0.0036220550537109375
26,High,0.7373409271240234
27,Low,0.013646841049194336
28,Medium,0.011945009231567383
29,Medium,0.22501587867736816
30,Low,0.004817008972167969
31,Low,0.009807348251342773
32,Medium,0.12556219100952148
33,Medium,0.16900897026062012
34,High,0.5689756870269775
35,Low,0.0042133331298828125
36,High,4.433568954467773
37,High,0.7740845680236816
38,High,2.433903932571411
39,Medium,0.009598731994628906
40,Medium,0.030071496963500977
41,Medium,0.37853240966796875
42,Low,0.0018346309661865234
43,Low,0.009128808975219727
44,Low,0.0038793087005615234
45,High,1.419543743133545
46,Medium,0.08844947814941406
47,Medium,0.160322904586792
48,Medium,0.1863718032836914
49,Medium,0.14677810668945312
50,Low,0.0051076412200927734
51,Low,0.010966062545776367
52,Medium,0.07645773887634277
53,Medium,0.10364270210266113
54,Low,0.011081933975219727
55,Low,0.007372617721557617
56,Low,0.004253387451171875
57,Low,0.027120351791381836
58,High,0.5486776828765869
59,Low,0.008228778839111328
60,High,2.2213339805603027
61,Medium,0.12493729591369629
62,Medium,0.11040139198303223
63,Low,0.01124882698059082
64,Low,0.010016918182373047
65,Medium,0.016783475875854492
66,High,0.95084547996521
67,High,0.5046401023864746
68,Low,0.0039865970611572266
69,Medium,0.014880657196044922
70,Low,0.0013659000396728516
71,Medium,0.16930413246154785
72,High,0.7567455768585205
73,Low,0.0068857669830322266
74,Low,0.008791923522949219
75,Medium,0.02174234390258789
76,Low,0.004760026931762695
77,Low,0.002071857452392578
78,High,3.1876847743988037
79,Low,0.006194114685058594
80,Low,0.005091190338134766
81,Low,0.006570339202880859
82,Low,0.0015625953674316406
83,Medium,0.16856050491333008
84,Medium,0.15279245376586914
85,Low,0.0014889240264892578
86,High,0.31940126419067383
87,High,0.36719202995300293
88,Medium,0.1508922576904297
89,Low,0.00845956802368164
90,High,0.04607868194580078
91,Low,0.007375001907348633
92,Low,0.0053539276123046875
93,High,1.0222008228302002
94,Low,0.004700899124145508
95,High,1.4796092510223389
96,Low,0.008591890335083008
97,Medium,0.16701054573059082
98,Medium,0.12116670608520508
99,Medium,0.08612751960754395
100,Medium,0.06231880187988281
